№,Год,з/п в руб.,Курс $,з/п в $
1,2001,123021,1183,103.99070160608622
2,2002,189232,1580,119.76708860759494
3,2003,250686,1930,129.88911917098446
4,2004,347519,2156,161.1869202226345
5,2005,463741,2170,213.70552995391705
6,2006,582166,2152,270.5232342007435
7,2007,694045,2140,324.3200934579439
8,2008,868169,2150,403.7995348837209
9,2009,981584,3077,319.00682482937924
10,2010,1217313,3000,405.771
11,2011,1899782,11340,167.52927689594355
12,2012,3676083,8570,428.94784130688447
13,2013,5061000,9510,532.1766561514196
14,2014,6052367,11850,510.74827004219406
15,2015,6714967,19608,342.4605773153815
16,2016,7227000.0,1.952,370.235655737705
17,2017,8228000.0,1.958,420.2247191011236
18,2018,11250000,1.972,570.4868154158215
19,2019,12180000,2.158,564.4114921223355
20,2020,14740000,2.41,611.6182572614108
21,2021,16750000,2.57,651.7509727626459
22,2022,14770000,3.77,391.7771883289125
